sample_id,aep_mw,mean_wind_speed,std_wind_speed,min_wind_speed,max_wind_speed,mean_pairwise_distance,min_pairwise_distance,spacing_violation_sum,wake_exposure,centroid_x,centroid_y,spread_x,spread_y,layout_x,layout_y
0,285.53232959668674,7.127888783806607,0.14999270231175185,6.809711836276093,7.413133174517677,10.231804059936211,0.7594802611414604,0.0,0.24378781691515788,11.173312647631027,9.612722237789471,5.772015932522094,5.266812437268396,"15.435288,8.787348,17.114583,13.915782,1.948479,19.436347,15.181012,15.675516,2.621774,9.015657,7.436633,18.467017,12.854284,16.403590,8.877338,4.588416,11.082962,1.346134,16.500202,12.612222,15.120461,7.113795,19.338649,17.799523,15.523129,3.941632,9.339745,0.949067,3.141104,13.631691","14.856081,19.275393,6.544375,7.429921,9.395987,3.839112,2.657643,9.517986,4.581881,13.369110,8.753094,16.600335,13.973260,6.277354,16.592034,16.046525,7.767571,5.800430,13.620711,2.852689,4.046179,0.226067,15.692580,13.270641,14.070481,15.569664,9.184889,11.363825,2.853572,2.352277"
1,285.55179229522093,7.157611746996181,0.12377934669864839,6.930102919432395,7.445420758570231,9.490272567842124,0.494238478994905,0.0,0.2830932405026905,8.906362493089292,10.205429787115804,4.84283791137345,5.452580768814903,"13.341115,9.426549,11.294284,15.257577,12.672811,11.063015,11.174670,6.110370,0.691426,8.744473,4.337360,8.185208,17.011517,4.721359,1.236726,5.662656,5.904900,13.212424,11.131518,15.632540,13.259981,8.142715,16.230164,3.392743,0.530608,1.866550,14.411610,9.243644,3.279632,10.020728","3.101872,13.894996,8.931741,7.639461,6.062000,12.584807,7.258362,1.818974,2.421237,19.164050,18.106241,13.962190,5.354860,19.308459,15.530418,14.303101,8.995332,5.481273,1.992397,17.987632,9.122602,4.094889,6.150179,11.571716,3.587172,17.075227,15.129027,14.354145,8.652726,12.525807"
2,298.8474827643465,7.21187947284622,0.15432538306051685,6.883970614103543,7.531355185435021,10.54883498493013,1.0568636863594831,0.0,0.2607438427044128,8.623815155338116,10.684047393246564,5.284996339803543,6.158647437763041,"11.668504,12.972957,1.755375,8.329619,0.905625,9.880778,6.624446,2.947360,2.131515,11.738868,3.464564,18.434383,11.608253,6.961897,11.803763,0.532429,19.097815,9.648900,15.609467,1.721363,9.735301,9.815627,18.686477,11.423085,9.474030,5.376797,6.658329,10.410140,8.788003,0.508784","16.473632,17.859830,2.862542,11.072077,2.234143,13.417243,5.659678,13.162945,14.503573,15.329966,2.217580,18.253675,4.647446,0.822265,11.088273,7.439098,16.543029,16.115709,6.372036,18.985524,5.851810,10.298733,5.158347,18.651104,3.345819,0.971027,8.712326,19.768731,17.770877,14.932383"
3,298.3134791546651,7.186818053498922,0.18696941207224063,6.820588457169325,7.485343285403609,11.226615291795724,0.6362425948109265,0.0,0.1408833758551192,9.371793175086482,10.324758261151405,6.025049725231572,6.067116347603676,"17.753323,17.805981,10.374150,6.348032,15.396727,13.207359,7.493369,1.954219,14.896306,5.287217,18.666373,4.860856,2.515517,16.569275,3.121161,3.636683,11.971755,17.431311,3.977264,6.236822,15.503712,19.361036,10.014705,2.934926,0.356496,4.636376,2.695353,13.524748,2.497157,10.125586","13.854167,11.609354,4.043549,16.033831,14.273677,14.741443,2.680186,2.535275,18.482841,7.967951,6.050822,9.773507,13.231226,19.039565,5.763093,18.428199,0.573212,11.095129,12.658066,2.181004,2.864338,8.395228,19.250041,11.905484,18.591181,16.038521,9.352851,15.649707,0.433882,2.245417"
4,281.1105821817437,7.086813603716971,0.2337829388636295,6.585804074515526,7.441309741677806,10.923363207779166,0.11651495970149973,1.2627710869717603,0.12798798222028673,9.042619193311786,9.407191728867526,5.632310515587107,6.28536467442425,"16.535864,15.888851,4.695592,10.610469,12.103354,17.295941,12.045646,8.265420,7.503811,8.529501,13.014312,17.291014,9.085314,4.997137,4.775381,14.880923,16.280724,2.168717,1.400528,11.873564,2.980077,16.441338,6.237040,2.934419,18.352054,3.364149,5.728846,3.127690,2.371323,0.499577","1.179045,3.544887,1.139098,11.808293,13.585376,7.889628,6.388943,10.089801,17.440098,16.966451,0.942545,3.680928,4.777018,5.027850,11.413256,8.338647,1.057202,7.492505,10.471259,2.097171,16.615818,1.110923,18.428863,2.046405,16.816527,17.988638,19.514682,15.992193,15.544834,12.826868"
5,285.5148834253655,7.170047105688383,0.16826214551217622,6.648186146360475,7.424514333762236,9.081662443021088,0.2561105716133062,0.28777885677338766,0.3854376397308837,10.155521347635698,11.059482836823216,4.434279012876149,5.486644908724877,"15.535288,2.749516,10.715590,10.282182,17.094231,9.261939,7.720176,12.768935,5.366632,2.853005,9.561085,8.351085,4.694188,7.371434,7.349226,6.577512,7.608567,13.685148,5.970029,18.905341,18.260345,9.621263,6.594686,10.703026,16.915440,13.027333,16.039134,10.649210,12.637086,5.797007","14.660280,4.095707,13.864795,17.156666,2.700920,12.269294,1.966700,14.478198,1.756345,18.649046,2.806173,19.104184,15.969542,11.858651,15.607262,15.855078,18.849177,5.107126,11.787106,1.965776,12.304727,3.478419,11.288620,11.437021,9.325145,10.449014,15.236240,15.937015,9.844320,11.975934"
6,283.1421733902362,7.137060367368899,0.1733663218946941,6.705481434838104,7.4166140836657934,11.4424253385804,0.2766088861877985,0.24678222762440305,0.2708300596002367,10.835729937818673,10.223630346089772,5.881189663038867,6.399577292914645,"18.555727,2.455514,2.403335,1.820147,13.132008,8.385189,15.442537,13.397231,6.699373,17.903592,15.208638,5.447413,7.305570,6.318489,3.207015,3.012022,18.652769,8.768016,7.685065,14.556964,11.051382,18.653017,15.561182,9.590692,7.546972,19.654770,14.320363,18.951702,2.430615,16.954588","12.719546,2.498926,11.751039,13.692152,0.324085,9.093668,16.455926,5.939923,9.177594,8.855512,6.070239,18.301887,15.580874,2.274074,19.861168,17.523328,5.712743,16.684028,2.191364,19.902238,13.287185,12.978480,1.874344,17.877143,0.655350,4.858029,2.917554,15.491076,4.012372,18.147062"
7,278.52543984858664,7.1117695593053405,0.19939696757856912,6.758660933418196,7.474313334079564,10.877498214270808,0.5381172399436194,0.0,0.3019682395344716,9.843200929168592,9.492415335774973,6.412770369607005,5.447445889575296,"13.100378,0.797468,0.187728,1.104893,12.101556,15.981399,4.812888,16.932271,1.215482,15.971123,18.487461,15.398631,13.930716,16.705528,0.876602,4.083357,2.558486,10.089895,14.864532,12.579435,16.966441,3.159426,14.654882,3.909943,5.451854,14.164509,19.527263,12.213025,1.161286,12.307570","0.920235,17.621451,14.158033,3.514856,1.899745,3.721299,19.523739,9.177843,15.636166,12.706342,11.436677,2.959384,18.849125,6.058638,11.547862,13.963555,12.960786,18.741393,3.025030,10.165718,8.096042,9.487508,2.445276,2.740437,5.597019,6.125339,8.569600,12.201993,12.671042,8.250328"
8,277.48528354275413,7.136604811318696,0.19213142476020534,6.766006370742116,7.479434142793307,9.694475032657346,0.768159864621891,0.0,0.37564397920971915,10.357087880154602,9.003536721223021,4.3479035297923625,6.0772395669312695,"8.190257,4.397750,11.751996,6.370092,0.795427,8.381057,9.486792,4.555763,11.437565,11.304915,14.007723,12.935298,13.024272,6.353689,15.702655,10.975025,8.639337,12.500088,7.235442,10.252747,14.696241,17.666233,18.353775,10.072077,10.402258,15.949429,6.318702,16.693666,9.883770,2.378597","1.509653,16.785145,1.182467,5.647331,6.709140,3.512210,6.307644,14.815021,0.371308,16.491121,17.073913,7.465670,3.127680,12.000674,2.454304,7.320000,19.095235,19.830015,15.398561,6.249476,13.723275,14.075262,7.774779,12.795231,0.292836,4.227704,10.497752,3.328826,3.371592,16.672277"
9,287.5788980813209,7.137732141661265,0.18061556001598358,6.716590477977517,7.5102233799220155,10.266335777364334,0.4347256094727368,0.0,0.1766304771557682,9.556278139126082,10.528528167673386,5.614001203596277,5.47272384511584,"19.704399,11.110433,16.727143,19.727982,2.889262,8.973193,7.868643,1.668178,15.065751,8.686176,9.391446,3.069352,3.669585,18.076936,0.965838,4.699789,5.874457,9.805519,11.715072,9.866873,1.748848,4.914362,16.816794,12.729760,12.959117,13.376833,15.215996,1.232872,7.353510,10.784224","6.794977,16.834461,9.654239,15.329571,16.983988,10.095063,18.125517,11.728539,16.949442,6.837321,9.976528,10.623195,2.162798,7.987282,18.279979,12.595712,3.601731,6.802896,3.881404,0.572491,18.480815,8.972433,6.181496,11.953787,0.225119,5.595959,14.028184,12.653992,19.559030,12.387897"
